filename,ground_truth,predictions,similarity
../images/test/batch1/Canned food (5).jpg,Canned food,['canned food'],1.0
../images/test/batch1/Melamine plates (5).jpg,Melamine plates,['ceramic plate'],0.0
../images/test/batch1/Plastic takeaway food container (3).jpg,Plastic takeaway food container,['plastic takeaway food container'],1.0
../images/test/batch1/Namecard.jpg,Namecard,['business card'],0.0
../images/test/batch1/Cardboard box (2).jpg,Cardboard box,['cardboard box'],1.0
../images/test/batch1/Juice packet (3).jpg,Juice packet,['plastic packaging'],0.0
../images/test/batch1/Paper towel tube (2).jpeg,Paper towel tube,['cardboard box'],0.0
../images/test/batch1/Soft drink can.jpeg,Soft drink can,['beverage metal can'],0.0
../images/test/batch1/Bedsheet.jpg,Bedsheet,['bedsheet'],1.0
../images/test/batch1/Clothes (4).jpg,Clothes,['blouse'],0.0
../images/test/batch1/Clothes.jpeg,Clothes,['clothes'],1.0
../images/test/batch1/paper cup with plastic lid.jpg,paper cup with plastic lid,['disposable cup'],0.0
../images/test/batch1/Polystyrene foam product (2).jpg,Polystyrene foam product,['foam'],0.0
../images/test/batch1/Printed paper box (2).jpg,Printed paper box,['paper box'],0.5
../images/test/batch1/Oven-safe food containers.jpg,Oven-safe food containers,['plastic container'],0.0
../images/test/batch1/Oxo-degradable bag.jpeg,Oxo-degradable bag,['oxo-degradable bag'],1.0
../images/test/batch1/Melamine plates (3).jpg,Melamine plates,['plastic plate'],0.0
../images/test/batch1/paper cup (3).jpg,paper cup,['disposable cup'],0.0
../images/test/batch1/Styrofoam (3).jpg,Styrofoam,['styrofoam'],1.0
../images/test/batch1/Pen (3).jpg,Pen,['pen'],1.0
../images/test/batch1/Bedsheet (6).jpg,Bedsheet,"['bedsheet', 'plastic packaging']",0.0
../images/test/batch1/Pencil.webp,Pencil,['pencil'],1.0
../images/test/batch1/Medicine bottle (4).jpg,Medicine bottle,['medicine glass bottle'],0.0
../images/test/batch1/Shampoo bottle (3).jpg,Shampoo bottle,"['shampoo bottle', 'conditioner bottle']",1.0
../images/test/batch1/Carton box (5).jpg,Carton box,['carton box'],1.0
../images/test/batch1/Umbrella (2).jpg,Umbrella,['umbrella'],1.0
../images/test/batch1/Bubble wrap (3).jpg,Bubble wrap,['bubble wrap'],1.0
../images/test/batch1/Plastic crockery (4).jpg,Plastic crockery,['plastic fork'],0.0
../images/test/batch1/Pen (5).jpg,Pen,['pen'],1.0
../images/test/batch1/Food waste.webp,Food waste,"['food waste', 'ceramic plate']",0.0
../images/test/batch1/Magazine (Glossy and non-glossy) (5).jpg,Magazine (Glossy and non-glossy),['magazine (glossy and non-glossy)'],1.0
../images/test/batch1/Plastic takeaway food container (6).jpg,Plastic takeaway food container,['plastic takeaway food container'],1.0
../images/test/batch1/Potato chip bags (3).jpg,Potato chip bags,['potato chip bags'],0.0
../images/test/batch1/Plastic takeaway food container.jpg,Plastic takeaway food container,['plastic takeaway food container'],1.0
../images/test/batch1/Greeting card (2).jpg,Greeting card,['greeting card'],1.0
../images/test/batch1/Envelope (With and without plastic window) (4).jpg,Envelope (With and without plastic window),"['paper', 'cardboard box']",0.0
../images/test/batch1/Paper egg trays (4).jpeg,Paper egg trays,['paper egg trays'],1.0
../images/test/batch1/Clothes (5).jpg,Clothes,['clothes'],1.0
../images/test/batch1/Juice packet (7).jpg,Juice packet,['drink packet'],0.0
../images/test/batch1/Polystyrene foam product (3).webp,Polystyrene foam product,['styrofoam'],0.0
../images/test/batch1/Paper plate (4).jpeg,Paper plate,['disposable plate'],0.0
../images/test/batch1/Printed paper (Glossy and non-glossy) (3).jpg,Printed paper (Glossy and non-glossy),['flyer (glossy and non-glossy)'],0.0
../images/test/batch1/Cardboard box (3).jpg,Cardboard box,['cardboard box'],1.0
../images/test/batch1/Paper bag (3).jpg,Paper bag,['gift bag'],0.0
../images/test/batch1/Styrofoam cup (2).webp,Styrofoam cup,['styrofoam cup'],1.0
../images/test/batch1/Drink packet (4).jpg,Drink packet,['plastic packaging'],0.0
../images/test/batch1/Juice packet (2).jpg,Juice packet,['drink packet'],0.0
../images/test/batch1/Paper cup.jpg,Paper cup,['plastic cups'],0.0
../images/test/batch1/Plastic disposables (5).jpg,Plastic disposables,['plastic bowl'],0.0
../images/test/batch1/Oxo-degradable bag (6).jpeg,Oxo-degradable bag,['oxo-degradable bag'],1.0
../images/test/batch1/Envelope (With and without plastic window) (3).jpg,Envelope (With and without plastic window),['envelope (with and without plastic window)'],1.0
../images/test/batch1/Greeting card (5).jpg,Greeting card,['greeting card'],1.0
../images/test/batch1/Paper bag (6).jpg,Paper bag,"['paper bag', 'cardboard box']",0.0
../images/test/batch1/Potato chip bags.jpg,Potato chip bags,"['potato chip bags', 'carton box']",0.0
../images/test/batch1/Dirty aluminium tray (2).jpeg,Dirty aluminium tray,['dirty aluminium tray'],1.0
../images/test/batch1/Oxo-degradable bag (4).webp,Oxo-degradable bag,['bio-degradable bag'],0.0
../images/test/batch1/Plastic clothes hanger (3).jpg,Plastic clothes hanger,['plastic clothes hanger'],1.0
../images/test/batch1/Paper disposables (3).jpg,Paper disposables,['disposable bowl'],0.0
../images/test/batch1/Plastic clothes hanger (4).jpg,Plastic clothes hanger,['plastic clothes hanger'],1.0
../images/test/batch1/Potato chip bags (2).jpg,Potato chip bags,['potato chip bags'],0.0
../images/test/batch1/Red packet (2).jpg,Red packet,['ang pow'],0.0
../images/test/batch1/Expired credit card.jpeg,Expired credit card,['debit card'],0.0
../images/test/batch1/Telephone directory (2).jpg,Telephone directory,['telephone directory'],1.0
../images/test/batch1/Medicine bottle (2).jpg,Medicine bottle,['plastic bottle'],0.0
../images/test/batch1/Printed paper box.jpg,Printed paper box,['cardboard box'],0.0
../images/test/batch1/Namecard (3).jpg,Namecard,['business card'],0.0
../images/test/batch1/Soft drink can (3).jpeg,Soft drink can,['beverage metal can'],0.0
../images/test/batch1/Greeting card (3).jpg,Greeting card,['greeting card'],1.0
../images/test/batch1/Paper bag (4).jpg,Paper bag,['paper bag'],1.0
../images/test/batch1/Drink packet (2).jpg,Drink packet,"['drink packet', 'plastic bag']",0.0
../images/test/batch1/Plastic clothes hanger (3).jpg,Plastic clothes hanger,['plastic clothes hanger'],1.0
../images/test/batch1/Paper disposables (3).jpg,Paper disposables,['disposable bowl'],0.0
../images/test/batch1/Plastic clothes hanger (4).jpg,Plastic clothes hanger,['plastic clothes hanger'],1.0
../images/test/batch1/Potato chip bags (2).jpg,Potato chip bags,['potato chip bags'],1.0
../images/test/batch1/Red packet (2).jpg,Red packet,['ang pow'],0.0
../images/test/batch1/Expired credit card.jpeg,Expired credit card,['debit card'],0.0
../images/test/batch1/Telephone directory (2).jpg,Telephone directory,['telephone directory'],1.0
../images/test/batch1/Medicine bottle (2).jpg,Medicine bottle,['plastic bottle'],0.0
../images/test/batch1/Printed paper box.jpg,Printed paper box,['carton box'],0.0
../images/test/batch1/Namecard (3).jpg,Namecard,['business card'],0.0
