ground_truth_prediction_json,similarity
"{'ground_truth': 'golf ball', 'predictions': ""['golf ball']""}",1.0
"{'ground_truth': 'Newsletter', 'predictions': ""['newsletter']""}",1.0
"{'ground_truth': 'Textbooks', 'predictions': ""['books']""}",0.0
"{'ground_truth': 'glasses', 'predictions': ""['glasses']""}",1.0
"{'ground_truth': 'fluorescent lamp', 'predictions': ""['lamp', 'pen', 'bottle']""}",0.0
"{'ground_truth': 'Disposable spoon', 'predictions': ""['disposable spoon', 'disposable spoon', 'disposable spoon', 'disposable spoon', 'disposable spoon', 'disposable spoon', 'disposable spoon']""}",1.0
"{'ground_truth': 'ironing board', 'predictions': ""['ironing board']""}",1.0
"{'ground_truth': 'Computer mouse', 'predictions': ""['computer mouse', 'computer mouse']""}",1.0
"{'ground_truth': 'button cell battery', 'predictions': ""['button cell battery']""}",1.0
"{'ground_truth': 'curtains', 'predictions': ""['curtains']""}",1.0
"{'ground_truth': 'shot glass', 'predictions': ""['shot glass', 'shot glass', 'shot glass']""}",1.0
"{'ground_truth': 'bodywash bottle', 'predictions': ""['soap bottle', 'shampoo bottle', 'body lotion bottle']""}",0.33
"{'ground_truth': 'borosilicate glassware', 'predictions': ""['borosilicate glassware']""}",1.0
"{'ground_truth': 'child seat', 'predictions': ""['child seat']""}",1.0
"{'ground_truth': 'Ribbons', 'predictions': ""['ribbons']""}",1.0
"{'ground_truth': 'plastic plate', 'predictions': ""['plastic plate']""}",1.0
"{'ground_truth': 'joss sticks', 'predictions': ""['joss sticks']""}",1.0
"{'ground_truth': 'food blender', 'predictions': ""['food blender']""}",1.0
"{'ground_truth': 'Personal mobility devices', 'predictions': ""['electric mobility scooter']""}",0.0
"{'ground_truth': 'glass plate', 'predictions': ""['glass plate']""}",1.0
"{'ground_truth': 'blister pack', 'predictions': ""['blister pack']""}",1.0
"{'ground_truth': 'Vacuum cleaner', 'predictions': ""['robot vacuum']""}",0.0
"{'ground_truth': 'foolscap paper', 'predictions': ""['notebook']""}",0.0
"{'ground_truth': 'fluorescent bulb', 'predictions': ""['fluorescent lamp']""}",0.0
"{'ground_truth': 'Toaster oven', 'predictions': ""['toaster oven']""}",1.0
"{'ground_truth': 'anniversary card', 'predictions': ""['anniversary card']""}",1.0
"{'ground_truth': 'Notebook', 'predictions': ""['notebook']""}",1.0
"{'ground_truth': 'laptop', 'predictions': ""['laptop']""}",1.0
"{'ground_truth': 'cushion', 'predictions': ""['cushion']""}",1.0
"{'ground_truth': 'Glass Tube', 'predictions': ""['glass tube']""}",1.0
"{'ground_truth': 'chocolate', 'predictions': ""['wrapper']""}",0.0
"{'ground_truth': 'Sanitary pad', 'predictions': ""['sanitary pad', 'sanitary pad', 'sanitary pad', 'tampons', 'tampons']""}",0.6
"{'ground_truth': 'ceramic plate', 'predictions': ""['ceramic plate']""}",1.0
"{'ground_truth': 'umbrella', 'predictions': ""['umbrella']""}",1.0
"{'ground_truth': 'school shoes', 'predictions': ""['shoes']""}",0.0
"{'ground_truth': 'Lamp fixture', 'predictions': ""['lamp']""}",0.0
"{'ground_truth': 'Cellphone', 'predictions': ""['cellphone']""}",1.0
"{'ground_truth': 'shoes', 'predictions': ""['sneakers']""}",0.0
"{'ground_truth': 'Rice cooker', 'predictions': ""['rice cooker']""}",1.0
"{'ground_truth': 'led bulb', 'predictions': ""['led bulb']""}",1.0
"{'ground_truth': 'sandles', 'predictions': ""['sandles']""}",1.0
"{'ground_truth': 'Disposable shaver', 'predictions': ""['disposable shaver']""}",1.0
"{'ground_truth': 'coffee capsules', 'predictions': ""['coffee capsules']""}",1.0
"{'ground_truth': 'Disposable spoon', 'predictions': ""['disposable spoon']""}",1.0
"{'ground_truth': 'docking station', 'predictions': ""['docking station']""}",1.0
"{'ground_truth': 'cd player', 'predictions': ""['cd player']""}",1.0
"{'ground_truth': 'gift bag', 'predictions': ""['gift bag', 'gift bag']""}",1.0
"{'ground_truth': 'Playstation', 'predictions': ""['gaming console', 'gaming console controller']""}",0.0
"{'ground_truth': 'Toaster oven', 'predictions': ""['toaster oven']""}",1.0
"{'ground_truth': 'wooden chopsticks', 'predictions': ""['wooden chopsticks']""}",1.0
"{'ground_truth': 'Steel wool', 'predictions': ""['steel wool']""}",1.0
"{'ground_truth': 'disposable cup', 'predictions': ""['disposable cup', 'disposable cup']""}",1.0
"{'ground_truth': 'Disposable shaver', 'predictions': ""['disposable shaver', 'shaving cream']""}",0.0
"{'ground_truth': 'plastic tupperware container', 'predictions': ""['plastic tupperware container']""}",1.0
"{'ground_truth': 'highlighter', 'predictions': ""['highlighter']""}",1.0
"{'ground_truth': 'Audio sound system', 'predictions': ""['audio sound system']""}",1.0
"{'ground_truth': 'pen', 'predictions': ""['pen', 'pen', 'pen', 'pen', 'pen', 'pen']""}",1.0
"{'ground_truth': 'Battery charger', 'predictions': ""['battery charger', 'electronic cables']""}",0.5
"{'ground_truth': 'cabinet', 'predictions': ""['cabinet']""}",1.0
"{'ground_truth': 'blister pack', 'predictions': ""['blister pack']""}",1.0
"{'ground_truth': 'Aerosol cans', 'predictions': ""['aerosol cans']""}",1.0
"{'ground_truth': 'e-scooter', 'predictions': ""['electric scooter']""}",0.0
"{'ground_truth': 'plastic bottle cap', 'predictions': ""['plastic bottle cap']""}",1.0
"{'ground_truth': 'Aerosol cans', 'predictions': ""['aerosol cans']""}",1.0
"{'ground_truth': 'biscuits', 'predictions': ""['biscuits']""}",1.0
"{'ground_truth': 'dress shoes', 'predictions': ""['dress shoes']""}",1.0
"{'ground_truth': 'post-it', 'predictions': ""['post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it']""}",1.0
