filename,ground_truth,predictions,similarity,evaluation,manual evaluation,remarks
../images/test/batch1/Canned food (5).jpg,Canned food,['canned food'],1,1,1,
../images/test/batch1/Melamine plates (5).jpg,Melamine plates,['ceramic plate'],0,0,1,
../images/test/batch1/Plastic takeaway food container (3).jpg,Plastic takeaway food container,['plastic takeaway food container'],1,1,1,
../images/test/batch1/Namecard.jpg,Namecard,['business card'],0,0,1,
../images/test/batch1/Cardboard box (2).jpg,Cardboard box,['cardboard box'],1,1,1,
../images/test/batch1/Juice packet (3).jpg,Juice packet,['plastic packaging'],0,0,1,
../images/test/batch1/Paper towel tube (2).jpeg,Paper towel tube,['cardboard box'],0,0,1,
../images/test/batch1/Soft drink can.jpeg,Soft drink can,['beverage metal can'],0,0,1,
../images/test/batch1/Bedsheet.jpg,Bedsheet,['bedsheet'],1,1,1,
../images/test/batch1/Clothes (4).jpg,Clothes,['blouse'],0,0,1,
../images/test/batch1/Clothes.jpeg,Clothes,['clothes'],1,1,1,
../images/test/batch1/paper cup with plastic lid.jpg,paper cup with plastic lid,['disposable cup'],0,0,1,
../images/test/batch1/Polystyrene foam product (2).jpg,Polystyrene foam product,['foam'],0,0,1,
../images/test/batch1/Printed paper box (2).jpg,Printed paper box,['paper box'],0.5,1,1,
../images/test/batch1/Oven-safe food containers.jpg,Oven-safe food containers,['plastic container'],0,0,1,
../images/test/batch1/Oxo-degradable bag.jpeg,Oxo-degradable bag,['oxo-degradable bag'],1,1,1,
../images/test/batch1/Melamine plates (3).jpg,Melamine plates,['plastic plate'],0,0,1,
../images/test/batch1/paper cup (3).jpg,paper cup,['disposable cup'],0,0,1,
../images/test/batch1/Styrofoam (3).jpg,Styrofoam,['styrofoam'],1,1,1,
../images/test/batch1/Pen (3).jpg,Pen,['pen'],1,1,1,
../images/test/batch1/Bedsheet (6).jpg,Bedsheet,"['bedsheet', 'plastic packaging']",0,0,1,
../images/test/batch1/Pencil.webp,Pencil,['pencil'],1,1,1,
../images/test/batch1/Medicine bottle (4).jpg,Medicine bottle,['medicine glass bottle'],0,0,1,
../images/test/batch1/Shampoo bottle (3).jpg,Shampoo bottle,"['shampoo bottle', 'conditioner bottle']",1,1,1,
../images/test/batch1/Carton box (5).jpg,Carton box,['carton box'],1,1,1,
